surname,datetime,duration
Dalin,2025-01-14 08:24:49,64d 19H 22M 49S
Richomme,2025-01-15 07:12:02,65d 18H 10M 2S
Simon,2025-01-17 01:27:37,67d 12H 25M 37S
Beyou,2025-01-24 01:58:54,74d 12H 56M 54S
Meilhat,2025-01-24 11:40:15,74d 22H 38M 15S
Lunven,2025-01-24 20:51:41,75d 07H 49M 41S
Ruyant,2025-01-25 05:49:27,75d 16H 47M 27S
Mettraux,2025-01-25 14:38:52,76d 01H 36M 52S
Goodchild,2025-01-25 15:03:45,76d 02H 01M 45S
Dutreux,2025-01-26 16:41:24,77d 03H 39M 24S
Cremer,2025-01-27 04:36:28,77d 15H 34M 28S
Herrmann,2025-01-29 23:18:41,80d 10H 16M 41S
Davies,2025-01-30 11:15:39,80d 22H 13M 39S
Attanasio,2025-02-02 11:50:18,84d 22H 48M 18S
Seguin,2025-02-03 09:33:48,84d 20H 31M 48S
Ferre,2025-02-03 12:21:39,84d 23H 19M 39S
Le Turquais,2025-02-03 12:37:29,84d 23H 35M 29S
Roura,2025-02-03 12:57:48,84d 23H 55M 48S
Joschke,2025-02-04 00:28:36,85d 11H 26M 36S
Le Cam,2025-02-04 04:53:02,85d 15H 51M 02S
Colman,2025-02-04 05:06:33,85d 16H 04M 33S
Pedote,2025-02-04 09:34:01,85d 20H 32M 01S
