surname,duration,datetime
Dalin,56d 02H 36M 23S,2025-01-05 14:38:23
Richomme,56d 10H 27M 01S,2025-01-05 22:29:01
Simon,57d 18H 06M 19S,2025-01-07 06:08:19
Goodchild,63d 11H 17M 16S,2025-01-12 23:19:16
Beyou,63d 11H 20M 55S,2025-01-12 23:22:55
Meilhat,63d 13H 59M 39S,2025-01-13 02:01:39
Lunven,64d 02H 15M 54S,2025-01-13 14:17:54
Ruyant,64d 07H 52M 48S,2025-01-13 19:54:48
Herrmann,64d 11H 30M 30S,2025-01-13 23:32:30
Mettraux,64d 14H 48M 24S,2025-01-14 02:50:24
Dutreux,65d 19H 11M 36S,2025-01-15 07:13:36
Crémer,65d 19H 19M 16S,2025-01-15 07:21:16
Davies,65d 23H 29M 59S,2025-01-15 11:31:59
