surname,duration,datetime
Richomme,43d 11H 25M 20S,2024-12-23 23:27:20
Dalin,43d 11H 34M 50S,2024-12-23 23:36:50
Simon,44d 21H 19M 38S,2024-12-25 09:21:38
Ruyant,47d 05H 36M 29S,2024-12-27 17:38:29
Beyou,47d 16H 14M 46S,2024-12-28 04:16:46
Lunven,47d 16H 29M 46S,2024-12-28 04:31:46
Herrmann,47d 22H 49M 30S,2024-12-28 10:51:30
Meilhat,47d 22H 50M 01S,2024-12-28 10:52:01
Goodchild,48d 02H 42M 52S,2024-12-28 14:44:52
Mettraux,48d 04H 20M 23S,2024-12-28 16:22:23
Bestaven,49d 07H 19M 06S,2024-12-29 19:21:06
Cremer,52d 02H 17M 07S,2025-01-01 14:19:07
Dutreux,52d 03H 26M 27S,2025-01-01 15:28:27
Davies,52d 09H 07M 15S,2025-01-01 21:09:15
Attanasio,53d 18H 15M 51S,2025-01-03 06:17:51
Seguin,53d 20H 55M 00S,2025-01-03 08:57:00
Le Cam,54d 17H 59M 03S,2025-01-04 06:01:03
Roura,55d 18H 41M 52S,2025-01-05 06:43:52
Joschke,56d 19H 00M 54S,2025-01-06 07:02:54
Pedote,56d 22H 08M 21S,2025-01-06 10:10:21
Ferre,57d 19H 45M 08S,2025-01-07 07:47:08
Le Turquais,58d 03H 01M 45S,2025-01-07 15:03:45
Colman,58d 08H 35M 43S,2025-01-07 20:37:43
Soudee,58d 09H 23M 21S,2025-01-07 21:25:21
Shiraishi,58d 09H 43M 21S,2025-01-07 21:45:43
Duc,58d 11H 02M 31S,2025-01-07 23:04:31
Marsset,58d 11H 48M 23S,2025-01-07 23:50:23
Dorange,60d 01H 14M 29S,2025-01-09 13:16:29
Boissieres,60d 02H 46M 23S,2025-01-09 14:48:23
Bellion,60d 02H 54M 41S,2025-01-09 14:56:41
Heer,65d 03H 34M 58S,2025-01-14 15:36:58
Cornic,66d 02H 53M 27S,2025-01-15 14:55:27
Xu,66d 11H 37M 12S,2025-01-15 23:39:12
Cousin,72d 12H 31M 20S,2025-01-22 00:33:20
Amedeo,73d 08H 24M 54S,2025-01-22 20:26:54
Van Weynbergh,73d 18H 37M 54S,2025-01-23 06:39:54
