surname,duration,datetime
Dalin,29d 02H 10M 58S,2024-12-09 14:12:58
Simon,29d 13H 22M 18S,2024-12-10 01:24:18
Richomme,30d 02H 11M 37S,2024-12-10 14:13:37
Ruyant,30d 10H 14M 27S,2024-12-10 22:16:27
Beyou,30d 22H 11M 14S,2024-12-11 10:13:14
Lunven,30d 23H 03M 03S,2024-12-11 11:05:03
Goodchild,31d 06H 42M 58S,2024-12-11 18:44:58
Meilhat,31d 10H 11M 05S,2024-12-11 22:13:05
Bestaven,31d 11H 20M 31S,2024-12-11 23:22:31
Herrmann,32d 04H 20M 54S,2024-12-12 16:22:54
Mettraux,32d 07H 48M 57S,2024-12-12 19:50:57
Cremer,32d 15H 00M 57S,2024-12-13 03:02:57
Davies,32d 15H 27M 35S,2024-12-13 03:29:35
Dutreux,33d 14H 48M 10S,2024-12-14 02:50:10
Attanasio,33d 22H 32M 05S,2024-12-14 10:34:05
Hare,33d 23H 18M 25S,2024-12-14 11:20:25
Seguin,35d 08H 05M 24S,2024-12-15 20:07:24
Le Cam,36d 17H 45M 01S,2024-12-17 05:47:01
Joschke,36d 18H 13M 23S,2024-12-17 06:15:32
Pedote,36d 19H 53M 32S,2024-12-17 07:55:32
Roura,36d 20H 10M 18S,2024-12-17 08:12:18
Le Turquais,36d 23H 44M 02S,2024-12-17 11:46:02
Ferre,37d 00H 32M 25S,2024-12-17 12:34:25
Marsset,37d 18H 47M 24S,2024-12-18 06:49:24
Duc,37d 20H 19M 39S,2024-12-18 08:21:39
Dorange,37d 23H 53M 45S,2024-12-18 11:55:45
Colman,38d 07H 36M 45S,2024-12-18 19:38:45
Bellion,38d 10H 04M 02S,2024-12-18 22:06:02
Boissieres,38d 12H 44M 19S,2024-12-19 00:46:19
Soudee,39d 16H 11M 29S,2024-12-20 04:13:29
Shiraishi,39d 20H 39M 55S,2024-12-20 08:41:55
Heer,40d 09H 41M 14S,2024-12-20 21:43:14
Cornic,41d 13H 49M 19S,2024-12-22 01:51:19
Xu,43d 09H 24M 34S,2024-12-23 21:26:34
Cousin,44d 03H 34M 02S,2024-12-24 15:36:02
Amedeo,44d 05H 11M 05S,2024-12-24 17:13:05
Van Weynbergh,45d 15H 59M 36S,2024-12-26 06:00:36
